event_id,session_id,cow_id,layer,label,code,en,type,evidence,protocol,t_start_rel_ms,t_end_rel_ms,duration_ms,device_key,device_mac,video_name,adjudication,sensor_eligible
EVT-00001,2026-07-27 16_30_52,20201-3,posture_transition,起立过程,STANDING_UP,standing up,interval,两者,v3,2227336.0,2232387.0,5051.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00005.mp4,single_annotator,True
EVT-00002,2026-07-27 17_36_54,20201-3,posture_transition,卧倒过程,LYING_DOWN,lying down,interval,两者,v3,311215.0,313415.0,2200.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00011.mp4,single_annotator,False
EVT-00003,2026-07-27 17_36_54,20201-3,posture_transition,起立过程,STANDING_UP,standing up,interval,两者,v3,1051222.0,1059882.0,8660.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00011.mp4,single_annotator,False
EVT-00004,2026-07-27 17_36_54,20201-3,posture_transition,卧倒过程,LYING_DOWN,lying down,interval,两者,v3,1564893.0,1574173.0,9280.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00011.mp4,single_annotator,False
EVT-00005,2026-07-27 17_36_54,20201-3,posture_transition,起立过程,STANDING_UP,standing up,interval,两者,v3,3133320.0,3139941.0,6621.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00011.mp4,single_annotator,False
EVT-00006,2026-07-27 17_36_54,20201-3,objective_event,排尿,URINATION,urination,interval,两者,v3,3162640.0,3183542.0,20902.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00011.mp4,single_annotator,False
EVT-00007,2026-07-27 17_36_54,20201-3,objective_event,排尿,URINATION,urination,interval,两者,v3,3312646.0,3334586.0,21940.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00011.mp4,single_annotator,False
EVT-00008,2026-07-27 18_42_44,20201-3,objective_event,排尿,URINATION,urination,interval,两者,v3,3150373.0,3174849.0,24476.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00019.mp4,single_annotator,True
EVT-00009,2026-07-28 00_15_03,20201-3,posture_transition,起立过程,STANDING_UP,standing up,interval,两者,v3,1178622.0,1189743.0,11121.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00061.mp4,single_annotator,True
EVT-00010,2026-07-28 02_26_42,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1045513.0,1074890.0,29377.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00011,2026-07-28 02_26_42,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1075929.0,1081561.0,5632.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00012,2026-07-28 02_26_42,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1107621.0,1116981.0,9360.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00013,2026-07-28 02_26_42,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1122405.0,1128461.0,6056.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00014,2026-07-28 02_26_42,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1187160.0,1227329.0,40169.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00015,2026-07-28 02_26_42,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1228984.0,1233567.0,4583.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00016,2026-07-28 02_26_42,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1251288.0,2003820.0,752532.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00017,2026-07-28 02_26_42,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2586987.0,2963764.0,376777.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00018,2026-07-28 02_26_42,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2981603.0,3067362.0,85759.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00019,2026-07-28 02_26_42,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,3082793.0,3090418.0,7625.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00020,2026-07-28 02_26_42,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,3110300.0,3318432.0,208132.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00021,2026-07-28 02_26_42,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,3319884.0,3324264.0,4380.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00022,2026-07-28 02_26_42,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,3536402.0,3599851.0,63449.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00078.mp4,single_annotator,True
EVT-00023,2026-07-28 03_32_35,20201-3,objective_event,排尿,URINATION,urination,interval,两者,v3,36778.0,60747.0,23969.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00024,2026-07-28 03_32_35,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,78571.0,164952.0,86381.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00025,2026-07-28 03_32_35,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,166613.0,170152.0,3539.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00026,2026-07-28 03_32_35,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,232024.0,236604.0,4580.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00027,2026-07-28 03_32_35,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,248818.0,917907.0,669089.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00028,2026-07-28 03_32_35,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,957737.0,1100669.0,142932.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00029,2026-07-28 03_32_35,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1136459.0,1473450.0,336991.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00030,2026-07-28 03_32_35,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1508300.0,1724263.0,215963.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00031,2026-07-28 03_32_35,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1724263.0,1737178.0,12915.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00032,2026-07-28 03_32_35,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1762154.0,1871749.0,109595.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00033,2026-07-28 03_32_35,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1893366.0,2237931.0,344565.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00034,2026-07-28 03_32_35,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2241489.0,2254189.0,12700.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00035,2026-07-28 03_32_35,20201-3,posture_transition,卧倒过程,LYING_DOWN,lying down,interval,两者,v3,2290835.0,2306500.0,15665.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00036,2026-07-28 03_32_35,20201-3,body_state,躺卧,LYING,lying,interval,两者,v3,2319138.0,2830780.0,511642.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00037,2026-07-28 03_32_35,20201-3,body_state,躺卧,LYING,lying,interval,两者,v3,2837852.0,3599869.0,762017.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00087.mp4,single_annotator,True
EVT-00038,2026-07-28 04_38_21,20201-3,body_state,躺卧,LYING,lying,interval,两者,v3,0.0,804605.0,804605.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00039,2026-07-28 04_38_21,20201-3,body_state,躺卧,LYING,lying,interval,两者,v3,812120.0,1764073.0,951953.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00040,2026-07-28 04_38_21,20201-3,body_state,躺卧,LYING,lying,interval,两者,v3,1769192.0,1900997.0,131805.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00041,2026-07-28 04_38_21,20201-3,posture_transition,起立过程,STANDING_UP,standing up,interval,两者,v3,1904336.0,1916217.0,11881.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00042,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1926179.0,2001881.0,75702.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00043,2026-07-28 04_38_21,20201-3,objective_event,排尿,URINATION,urination,interval,两者,v3,2007737.0,2062126.0,54389.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00044,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2066542.0,2120652.0,54110.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00045,2026-07-28 04_38_21,20201-3,objective_event,排便,DEFECATION,defecation,interval,两者,v3,2127191.0,2159281.0,32090.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00046,2026-07-28 04_38_21,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2193473.0,2202017.0,8544.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00047,2026-07-28 04_38_21,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2231970.0,2236957.0,4987.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00048,2026-07-28 04_38_21,20201-3,tail_action,抬尾,TAIL_RAISED,tail raised,interval,两者,v3,2277386.0,2304269.0,26883.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00049,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2314401.0,2409393.0,94992.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00050,2026-07-28 04_38_21,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2414813.0,2421053.0,6240.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00051,2026-07-28 04_38_21,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2637064.0,2647697.0,10633.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00052,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2827863.0,3007957.0,180094.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
