fold,test_cow,split,samples,sessions,cows,body_STANDING,body_LYING,body_WALKING,body_FEEDING,event_STANDING_UP_positive,event_LYING_DOWN_positive,event_URINATION_positive,event_DEFECATION_positive,event_TAIL_RAISED_positive,event_TAIL_WAGGING_positive,event_STANDING_UP_negative,event_LYING_DOWN_negative,event_URINATION_negative,event_DEFECATION_negative,event_TAIL_RAISED_negative,event_TAIL_WAGGING_negative
1,20201-3,train,182724,57,21074-1;23509-9,47289,87114,2589,41101,886,654,2752,124,323,61,178049,178093,178004,178093,178093,178057
1,20201-3,validation,45456,18,21074-1;23335-7;23489-8;23509-9,21483,9063,1199,12302,173,113,877,55,227,9,44047,44017,44047,44047,44041,44038
1,20201-3,test,76830,23,20201-3,23446,26224,2228,22951,291,324,750,365,251,0,74849,74849,74849,74849,74849,74849
2,21074-1,train,58155,42,20201-3;23509-9,18946,16278,1915,18130,378,496,1541,230,241,0,55269,55269,55269,55269,55269,55269
2,21074-1,validation,20846,14,20201-3;23335-7;23489-8;23509-9,4500,9946,331,4821,195,122,695,135,101,0,19598,19598,19598,19598,19598,19598
2,21074-1,test,226009,42,21074-1,68772,96177,3770,53403,777,473,2143,179,459,70,222078,222092,222033,222122,222116,222077
3,23335-7,train,239356,75,20201-3;21074-1;23509-9,66235,103392,4504,59231,1053,921,3243,354,531,61,233318,233362,233273,233362,233362,233326
3,23335-7,validation,65641,22,20201-3;21074-1;23489-8;23509-9,25983,19009,1512,17123,284,170,1136,190,270,9,63627,63597,63627,63627,63621,63618
3,23335-7,test,13,1,23335-7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
4,23489-8,train,239356,75,20201-3;21074-1;23509-9,66235,103392,4504,59231,1053,921,3243,354,531,61,233318,233362,233273,233362,233362,233326
4,23489-8,validation,65606,22,20201-3;21074-1;23335-7;23509-9,25983,19009,1512,17123,297,170,1088,190,270,9,63627,63597,63627,63627,63621,63618
4,23489-8,test,48,1,23489-8,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
5,23509-9,train,237833,51,20201-3;21074-1,66235,103392,4504,59231,842,692,2193,354,498,61,233318,233362,233273,233362,233362,233326
5,23509-9,validation,65067,16,20201-3;21074-1;23335-7;23489-8,25983,19009,1494,17123,239,105,748,190,212,9,63609,63579,63609,63609,63603,63600
5,23509-9,test,2110,31,23509-9,0,0,18,0,269,294,1438,0,91,0,18,18,18,18,18,18
