device_key,device_mac,cow_id,session_id,cache_key,frames,status,source
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-27 16_30_52,546C50CA01F1_2026_07_27_16_30_52_9ca89daf39,179101,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-27 18_42_44,546C50CA01F1_2026_07_27_18_42_44_0fa6abab0d,179308,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 00_15_03,546C50CA01F1_2026_07_28_00_15_03_ff22d917cb,179307,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 02_26_42,546C50CA01F1_2026_07_28_02_26_42_376c1f328a,179307,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 03_32_35,546C50CA01F1_2026_07_28_03_32_35_5dc2168fce,179310,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 04_38_21,546C50CA01F1_2026_07_28_04_38_21_dc7e29aff7,179307,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 05_44_10,546C50CA01F1_2026_07_28_05_44_10_6c14565b9a,179306,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 06_50_04,546C50CA01F1_2026_07_28_06_50_04_f58ab705c5,179307,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 07_55_58,546C50CA01F1_2026_07_28_07_55_58_e4f7f55bf4,179307,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 09_01_51,546C50CA01F1_2026_07_28_09_01_51_5c80516d8c,179306,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 10_07_41,546C50CA01F1_2026_07_28_10_07_41_e158f20d18,179305,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 11_13_43,546C50CA01F1_2026_07_28_11_13_43_898b994036,179301,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 12_19_46,546C50CA01F1_2026_07_28_12_19_46_33c3286010,179306,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 13_25_36,546C50CA01F1_2026_07_28_13_25_36_12aaf93344,179307,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 14_31_31,546C50CA01F1_2026_07_28_14_31_31_8ed1bf51ce,179311,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 15_37_38,546C50CA01F1_2026_07_28_15_37_38_4036d6b2c1,179306,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 16_44_10,546C50CA01F1_2026_07_28_16_44_10_6b15cf7aa1,179299,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 17_50_25,546C50CA01F1_2026_07_28_17_50_25_378d8c32b9,179308,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 18_57_09,546C50CA01F1_2026_07_28_18_57_09_24ef80246a,179305,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 20_02_56,546C50CA01F1_2026_07_28_20_02_56_ee3f194d1b,179304,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 21_08_29,546C50CA01F1_2026_07_28_21_08_29_ff738fec4a,179306,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 22_14_53,546C50CA01F1_2026_07_28_22_14_53_52b897f256,179308,included,supervised_cache/session_cache
546C50CA01F1-20201-3,546C50CA01F1,20201-3,2026-07-28 23_20_42,546C50CA01F1_2026_07_28_23_20_42_096b4e1268,179308,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-27 16_30_53,546C50CA07D0_2026_07_27_16_30_53_f06b5eaec0,179313,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-27 17_37_11,546C50CA07D0_2026_07_27_17_37_11_819eb0ea76,179311,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-27 18_43_20,546C50CA07D0_2026_07_27_18_43_20_c7f5e78443,179311,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-27 19_54_10,546C50CA07D0_2026_07_27_19_54_10_8c6d634a31,179671,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-27 21_00_29,546C50CA07D0_2026_07_27_21_00_29_037ff4a171,179675,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-27 22_06_57,546C50CA07D0_2026_07_27_22_06_57_b0e6104705,179672,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-27 23_14_03,546C50CA07D0_2026_07_27_23_14_03_e93619f705,179674,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 00_20_23,546C50CA07D0_2026_07_28_00_20_23_ab8baf3d1b,179671,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 01_26_54,546C50CA07D0_2026_07_28_01_26_54_54c4fd5fd6,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 02_33_15,546C50CA07D0_2026_07_28_02_33_15_ba1290dc8c,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 03_39_37,546C50CA07D0_2026_07_28_03_39_37_e20b073d7d,179671,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 04_45_58,546C50CA07D0_2026_07_28_04_45_58_7b5b1de448,179675,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 05_52_04,546C50CA07D0_2026_07_28_05_52_04_63d744aad4,179670,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 06_58_05,546C50CA07D0_2026_07_28_06_58_05_a812b30b25,179669,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 08_04_18,546C50CA07D0_2026_07_28_08_04_18_2c96a90405,179676,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 09_10_45,546C50CA07D0_2026_07_28_09_10_45_ba12dc02f9,179676,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 10_16_56,546C50CA07D0_2026_07_28_10_16_56_9d636deba2,179675,included,supervised_cache/session_cache
